GO:0000001	mitochondrion inheritance
GO:0008070	maternal determination of dorsal/ventral axis, ovarian follicular epithelium, germ-line encoded
GO:0008071	maternal determination of dorsal/ventral axis, ovarian follicular epithelium, soma encoded
GO:0008078	mesodermal cell migration
GO:0008088	axon cargo transport
GO:0008089	anterograde axon cargo transport
GO:0008090	retrograde axon cargo transport
GO:0008101	decapentaplegic signaling pathway
GO:0008103	oocyte microtubule cytoskeleton polarization
GO:0008104	protein localization
GO:0008105	asymmetric protein localization
GO:0008150	biological_process
GO:0008152	metabolic process
GO:0008153	para-aminobenzoic acid biosynthetic process
GO:0008154	actin polymerization or depolymerization
GO:0008156	negative regulation of DNA replication
GO:0008202	steroid metabolic process
GO:0008203	cholesterol metabolic process
GO:0008204	ergosterol metabolic process
GO:0008205	ecdysone metabolic process
GO:0008206	bile acid metabolic process
GO:0008207	C21-steroid hormone metabolic process
GO:0008208	C21-steroid hormone catabolic process
GO:0008209	androgen metabolic process
GO:0008210	estrogen metabolic process
GO:0008211	glucocorticoid metabolic process
GO:0008212	mineralocorticoid metabolic process
GO:0008213	protein alkylation
GO:0008214	protein dealkylation
GO:0008215	spermine metabolic process
GO:0008216	spermidine metabolic process
GO:0008217	regulation of blood pressure
GO:0008218	bioluminescence
GO:0008219	cell death
GO:0008228	opsonization
GO:0008258	head involution
GO:0008272	sulfate transport
GO:0008277	regulation of G-protein coupled receptor protein signaling pathway
GO:0008283	cell proliferation
GO:0008284	positive regulation of cell proliferation
GO:0008285	negative regulation of cell proliferation
GO:0008286	insulin receptor signaling pathway
GO:0008291	acetylcholine metabolic process
GO:0008292	acetylcholine biosynthetic process
GO:0008293	torso signaling pathway
GO:0008295	spermidine biosynthetic process
GO:0008298	intracellular mRNA localization
GO:0008299	isoprenoid biosynthetic process
GO:0008300	isoprenoid catabolic process
GO:0008302	female germline ring canal formation, actin assembly
GO:0008306	associative learning
GO:0008314	gurken receptor signaling pathway
GO:0008315	meiotic G2/MI transition
GO:0008333	endosome to lysosome transport
GO:0008334	histone mRNA metabolic process
GO:0008335	female germline ring canal stabilization
GO:0008340	determination of adult lifespan
GO:0008343	adult feeding behavior
GO:0008344	adult locomotory behavior
GO:0008345	larval locomotory behavior
GO:0008346	larval walking behavior
GO:0008347	glial cell migration
GO:0008348	negative regulation of antimicrobial humoral response
GO:0008354	germ cell migration
GO:0008355	olfactory learning
GO:0008356	asymmetric cell division
GO:0008358	maternal determination of anterior/posterior axis, embryo
GO:0008359	regulation of bicoid mRNA localization
GO:0008360	regulation of cell shape
GO:0008361	regulation of cell size
GO:0008362	chitin-based embryonic cuticle biosynthetic process
GO:0008363	larval chitin-based cuticle development
GO:0008364	pupal chitin-based cuticle development
GO:0008365	adult chitin-based cuticle development
GO:0008366	axon ensheathment
GO:0008377	light-induced release of internally sequestered calcium ion
GO:0008380	RNA splicing
GO:0008406	gonad development
GO:0008407	chaeta morphogenesis
GO:0008535	respiratory chain complex IV assembly
GO:0008542	visual learning
GO:0008543	fibroblast growth factor receptor signaling pathway
GO:0008544	epidermis development
GO:0008582	regulation of synaptic growth at neuromuscular junction
GO:0008583	mystery cell differentiation
GO:0008584	male gonad development
GO:0008585	female gonad development
GO:0008586	imaginal disc-derived wing vein morphogenesis
GO:0008587	imaginal disc-derived wing margin morphogenesis
GO:0008588	release of cytoplasmic sequestered NF-kappaB
GO:0008589	regulation of smoothened signaling pathway
GO:0008591	regulation of Wnt receptor signaling pathway, calcium modulating pathway
GO:0008592	regulation of Toll signaling pathway
GO:0008593	regulation of Notch signaling pathway
GO:0008594	photoreceptor cell morphogenesis
GO:0008595	anterior/posterior axis specification, embryo
GO:0008608	attachment of spindle microtubules to kinetochore
GO:0008610	lipid biosynthetic process
GO:0008611	ether lipid biosynthetic process
GO:0008612	peptidyl-lysine modification to hypusine
GO:0008614	pyridoxine metabolic process
GO:0008615	pyridoxine biosynthetic process
GO:0008616	queuosine biosynthetic process
GO:0008617	guanosine metabolic process
GO:0008618	7-methylguanosine metabolic process
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors
GO:0008626	granzyme-mediated apoptotic signaling pathway
GO:0008627	intrinsic apoptotic signaling pathway in response to osmotic stress
GO:0008628	hormone-mediated apoptotic signaling pathway
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage
GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress
GO:0008635	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c
GO:0008637	apoptotic mitochondrial changes
GO:0008643	carbohydrate transport
GO:0008645	hexose transport
GO:0008646	high-affinity hexose transport
GO:0008652	cellular amino acid biosynthetic process
GO:0008653	lipopolysaccharide metabolic process
GO:0008654	phospholipid biosynthetic process
GO:0008655	pyrimidine-containing compound salvage
GO:0009047	dosage compensation by hyperactivation of X chromosome
GO:0009048	dosage compensation by inactivation of X chromosome
GO:0009050	glycopeptide catabolic process
GO:0009051	pentose-phosphate shunt, oxidative branch
GO:0009052	pentose-phosphate shunt, non-oxidative branch
GO:0009056	catabolic process
GO:0009057	macromolecule catabolic process
GO:0009058	biosynthetic process
GO:0009059	macromolecule biosynthetic process
GO:0009060	aerobic respiration
GO:0009061	anaerobic respiration
GO:0009062	fatty acid catabolic process
GO:0009063	cellular amino acid catabolic process
GO:0009064	glutamine family amino acid metabolic process
GO:0009065	glutamine family amino acid catabolic process
GO:0009066	aspartate family amino acid metabolic process
GO:0009067	aspartate family amino acid biosynthetic process
GO:0009068	aspartate family amino acid catabolic process
GO:0009069	serine family amino acid metabolic process
GO:0009070	serine family amino acid biosynthetic process
GO:0009071	serine family amino acid catabolic process
GO:0009072	aromatic amino acid family metabolic process
GO:0009073	aromatic amino acid family biosynthetic process
GO:0009074	aromatic amino acid family catabolic process
GO:0009078	pyruvate family amino acid metabolic process
GO:0009079	pyruvate family amino acid biosynthetic process
GO:0009080	pyruvate family amino acid catabolic process
GO:0009081	branched-chain amino acid metabolic process
GO:0009082	branched-chain amino acid biosynthetic process
GO:0009083	branched-chain amino acid catabolic process
GO:0009084	glutamine family amino acid biosynthetic process
GO:0009085	lysine biosynthetic process
GO:0009086	methionine biosynthetic process
GO:0009087	methionine catabolic process
GO:0009088	threonine biosynthetic process
GO:0009089	lysine biosynthetic process via diaminopimelate
GO:0009090	homoserine biosynthetic process
GO:0009092	homoserine metabolic process
GO:0009093	cysteine catabolic process
GO:0009094	L-phenylalanine biosynthetic process
GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway
GO:0009097	isoleucine biosynthetic process
GO:0009098	leucine biosynthetic process
GO:0009099	valine biosynthetic process
GO:0009100	glycoprotein metabolic process
GO:0009101	glycoprotein biosynthetic process
GO:0009102	biotin biosynthetic process
GO:0009103	lipopolysaccharide biosynthetic process
GO:0009106	lipoate metabolic process
GO:0009107	lipoate biosynthetic process
GO:0009108	coenzyme biosynthetic process
GO:0009109	coenzyme catabolic process
GO:0009110	vitamin biosynthetic process
GO:0009111	vitamin catabolic process
GO:0009112	nucleobase metabolic process
GO:0009113	purine nucleobase biosynthetic process
GO:0009114	hypoxanthine catabolic process
GO:0009115	xanthine catabolic process
GO:0009116	nucleoside metabolic process
GO:0009117	nucleotide metabolic process
GO:0009118	regulation of nucleoside metabolic process
GO:0009119	ribonucleoside metabolic process
GO:0009120	deoxyribonucleoside metabolic process
GO:0009123	nucleoside monophosphate metabolic process
GO:0009124	nucleoside monophosphate biosynthetic process
GO:0009125	nucleoside monophosphate catabolic process
GO:0009126	purine nucleoside monophosphate metabolic process
GO:0009127	purine nucleoside monophosphate biosynthetic process
GO:0009128	purine nucleoside monophosphate catabolic process
GO:0009129	pyrimidine nucleoside monophosphate metabolic process
GO:0009130	pyrimidine nucleoside monophosphate biosynthetic process
GO:0009131	pyrimidine nucleoside monophosphate catabolic process
GO:0009132	nucleoside diphosphate metabolic process
GO:0009133	nucleoside diphosphate biosynthetic process
GO:0009134	nucleoside diphosphate catabolic process
GO:0009135	purine nucleoside diphosphate metabolic process
GO:0009136	purine nucleoside diphosphate biosynthetic process
GO:0009137	purine nucleoside diphosphate catabolic process
GO:0009138	pyrimidine nucleoside diphosphate metabolic process
GO:0009139	pyrimidine nucleoside diphosphate biosynthetic process
GO:0009140	pyrimidine nucleoside diphosphate catabolic process
GO:0009141	nucleoside triphosphate metabolic process
GO:0009142	nucleoside triphosphate biosynthetic process
GO:0009143	nucleoside triphosphate catabolic process
GO:0009144	purine nucleoside triphosphate metabolic process
GO:0009145	purine nucleoside triphosphate biosynthetic process
GO:0009146	purine nucleoside triphosphate catabolic process
GO:0009147	pyrimidine nucleoside triphosphate metabolic process
GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process
GO:0009149	pyrimidine nucleoside triphosphate catabolic process
GO:0009150	purine ribonucleotide metabolic process
GO:0009151	purine deoxyribonucleotide metabolic process
GO:0009152	purine ribonucleotide biosynthetic process
GO:0009153	purine deoxyribonucleotide biosynthetic process
GO:0009154	purine ribonucleotide catabolic process
GO:0009155	purine deoxyribonucleotide catabolic process
GO:0009156	ribonucleoside monophosphate biosynthetic process
GO:0009157	deoxyribonucleoside monophosphate biosynthetic process
GO:0009158	ribonucleoside monophosphate catabolic process
GO:0009159	deoxyribonucleoside monophosphate catabolic process
GO:0009161	ribonucleoside monophosphate metabolic process
GO:0009162	deoxyribonucleoside monophosphate metabolic process
GO:0009163	nucleoside biosynthetic process
GO:0009164	nucleoside catabolic process
GO:0009165	nucleotide biosynthetic process
GO:0009166	nucleotide catabolic process
GO:0009167	purine ribonucleoside monophosphate metabolic process
GO:0009168	purine ribonucleoside monophosphate biosynthetic process
GO:0009169	purine ribonucleoside monophosphate catabolic process
GO:0009170	purine deoxyribonucleoside monophosphate metabolic process
GO:0009171	purine deoxyribonucleoside monophosphate biosynthetic process
GO:0009173	pyrimidine ribonucleoside monophosphate metabolic process
GO:0009174	pyrimidine ribonucleoside monophosphate biosynthetic process
GO:0009175	pyrimidine ribonucleoside monophosphate catabolic process
GO:0009176	pyrimidine deoxyribonucleoside monophosphate metabolic process
GO:0009177	pyrimidine deoxyribonucleoside monophosphate biosynthetic process
GO:0009178	pyrimidine deoxyribonucleoside monophosphate catabolic process
GO:0009179	purine ribonucleoside diphosphate metabolic process
GO:0009180	purine ribonucleoside diphosphate biosynthetic process
GO:0009181	purine ribonucleoside diphosphate catabolic process
GO:0009182	purine deoxyribonucleoside diphosphate metabolic process
GO:0009183	purine deoxyribonucleoside diphosphate biosynthetic process
GO:0009184	purine deoxyribonucleoside diphosphate catabolic process
GO:0009185	ribonucleoside diphosphate metabolic process
GO:0009186	deoxyribonucleoside diphosphate metabolic process
GO:0009187	cyclic nucleotide metabolic process
GO:0009188	ribonucleoside diphosphate biosynthetic process
GO:0009189	deoxyribonucleoside diphosphate biosynthetic process
GO:0009190	cyclic nucleotide biosynthetic process
GO:0009191	ribonucleoside diphosphate catabolic process
GO:0009192	deoxyribonucleoside diphosphate catabolic process
GO:0009193	pyrimidine ribonucleoside diphosphate metabolic process
GO:0009194	pyrimidine ribonucleoside diphosphate biosynthetic process
GO:0009195	pyrimidine ribonucleoside diphosphate catabolic process
GO:0009196	pyrimidine deoxyribonucleoside diphosphate metabolic process
GO:0009197	pyrimidine deoxyribonucleoside diphosphate biosynthetic process
GO:0009199	ribonucleoside triphosphate metabolic process
GO:0009200	deoxyribonucleoside triphosphate metabolic process
GO:0009201	ribonucleoside triphosphate biosynthetic process
GO:0009202	deoxyribonucleoside triphosphate biosynthetic process
GO:0009203	ribonucleoside triphosphate catabolic process
GO:0009204	deoxyribonucleoside triphosphate catabolic process
GO:0009205	purine ribonucleoside triphosphate metabolic process
GO:0009206	purine ribonucleoside triphosphate biosynthetic process
GO:0009207	purine ribonucleoside triphosphate catabolic process
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process
GO:0009209	pyrimidine ribonucleoside triphosphate biosynthetic process
GO:0009210	pyrimidine ribonucleoside triphosphate catabolic process
GO:0009211	pyrimidine deoxyribonucleoside triphosphate metabolic process
GO:0009212	pyrimidine deoxyribonucleoside triphosphate biosynthetic process
GO:0009213	pyrimidine deoxyribonucleoside triphosphate catabolic process
GO:0009214	cyclic nucleotide catabolic process
GO:0009215	purine deoxyribonucleoside triphosphate metabolic process
GO:0009216	purine deoxyribonucleoside triphosphate biosynthetic process
GO:0009217	purine deoxyribonucleoside triphosphate catabolic process
GO:0009218	pyrimidine ribonucleotide metabolic process
GO:0009219	pyrimidine deoxyribonucleotide metabolic process
GO:0009220	pyrimidine ribonucleotide biosynthetic process
GO:0009221	pyrimidine deoxyribonucleotide biosynthetic process
GO:0009222	pyrimidine ribonucleotide catabolic process
GO:0009223	pyrimidine deoxyribonucleotide catabolic process
GO:0009224	CMP biosynthetic process
GO:0009225	nucleotide-sugar metabolic process
GO:0009226	nucleotide-sugar biosynthetic process
GO:0009227	nucleotide-sugar catabolic process
GO:0009228	thiamine biosynthetic process
GO:0009229	thiamine diphosphate biosynthetic process
GO:0009230	thiamine catabolic process
GO:0009231	riboflavin biosynthetic process
GO:0009233	menaquinone metabolic process
GO:0009234	menaquinone biosynthetic process
GO:0009235	cobalamin metabolic process
GO:0009236	cobalamin biosynthetic process
GO:0009237	siderophore metabolic process
GO:0009238	enterobactin metabolic process
GO:0009239	enterobactin biosynthetic process
GO:0009240	isopentenyl diphosphate biosynthetic process
GO:0009242	colanic acid biosynthetic process
GO:0009243	O antigen biosynthetic process
GO:0009244	lipopolysaccharide core region biosynthetic process
GO:0009245	lipid A biosynthetic process
GO:0009246	enterobacterial common antigen biosynthetic process
GO:0009247	glycolipid biosynthetic process
GO:0009249	protein lipoylation
GO:0009250	glucan biosynthetic process
GO:0009251	glucan catabolic process
GO:0009252	peptidoglycan biosynthetic process
GO:0009253	peptidoglycan catabolic process
GO:0009254	peptidoglycan turnover
GO:0009255	Entner-Doudoroff pathway
GO:0009256	10-formyltetrahydrofolate metabolic process
GO:0009257	10-formyltetrahydrofolate biosynthetic process
GO:0009258	10-formyltetrahydrofolate catabolic process
GO:0009259	ribonucleotide metabolic process
GO:0009260	ribonucleotide biosynthetic process
GO:0009261	ribonucleotide catabolic process
GO:0009262	deoxyribonucleotide metabolic process
GO:0009263	deoxyribonucleotide biosynthetic process
GO:0009264	deoxyribonucleotide catabolic process
GO:0009265	2'-deoxyribonucleotide biosynthetic process
GO:0009266	response to temperature stimulus
GO:0009267	cellular response to starvation
GO:0009268	response to pH
GO:0009269	response to desiccation
GO:0009270	response to humidity
GO:0009271	phage shock
GO:0009272	fungal-type cell wall biogenesis
GO:0009273	peptidoglycan-based cell wall biogenesis
GO:0009291	unidirectional conjugation
GO:0009292	genetic transfer
GO:0009294	DNA mediated transformation
GO:0009297	pilus assembly
GO:0009298	GDP-mannose biosynthetic process
GO:0009299	mRNA transcription
GO:0009300	antisense RNA transcription
GO:0009301	snRNA transcription
GO:0009302	snoRNA transcription
GO:0009303	rRNA transcription
GO:0009304	tRNA transcription
GO:0009305	protein biotinylation
GO:0009306	protein secretion
GO:0009307	DNA restriction-modification system
GO:0009308	amine metabolic process
GO:0009309	amine biosynthetic process
GO:0009310	amine catabolic process
GO:0009311	oligosaccharide metabolic process
GO:0009312	oligosaccharide biosynthetic process
GO:0009313	oligosaccharide catabolic process
GO:0009314	response to radiation
GO:0009371	positive regulation of transcription by pheromones
GO:0009372	quorum sensing
GO:0009373	regulation of transcription by pheromones
GO:0009386	translational attenuation
GO:0009394	2'-deoxyribonucleotide metabolic process
GO:0009395	phospholipid catabolic process
GO:0009396	folic acid-containing compound biosynthetic process
GO:0009397	folic acid-containing compound catabolic process
GO:0009398	FMN biosynthetic process
GO:0009399	nitrogen fixation
GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
GO:0009403	toxin biosynthetic process
GO:0009404	toxin metabolic process
GO:0009405	pathogenesis
GO:0009407	toxin catabolic process
GO:0009408	response to heat
GO:0009409	response to cold
GO:0009410	response to xenobiotic stimulus
GO:0009411	response to UV
GO:0009413	response to flooding
GO:0009414	response to water deprivation
GO:0009415	response to water stimulus
GO:0009416	response to light stimulus
GO:0009423	chorismate biosynthetic process
GO:0009432	SOS response
GO:0009435	NAD biosynthetic process
GO:0009436	glyoxylate catabolic process
GO:0009437	carnitine metabolic process
GO:0009438	methylglyoxal metabolic process
GO:0009439	cyanate metabolic process
GO:0009440	cyanate catabolic process
GO:0009441	glycolate metabolic process
GO:0009442	allantoin assimilation pathway
GO:0009443	pyridoxal 5'-phosphate salvage
GO:0009445	putrescine metabolic process
GO:0009446	putrescine biosynthetic process
GO:0009447	putrescine catabolic process
GO:0009448	gamma-aminobutyric acid metabolic process
GO:0009449	gamma-aminobutyric acid biosynthetic process
GO:0009450	gamma-aminobutyric acid catabolic process
GO:0009451	RNA modification
GO:0009452	7-methylguanosine RNA capping
GO:0009453	energy taxis
GO:0009454	aerotaxis
GO:0009553	embryo sac development
GO:0009554	megasporogenesis
GO:0009555	pollen development
GO:0009556	microsporogenesis
GO:0009558	embryo sac cellularization
GO:0009559	embryo sac central cell differentiation
GO:0009560	embryo sac egg cell differentiation
GO:0009561	megagametogenesis
GO:0009566	fertilization
GO:0009567	double fertilization forming a zygote and endosperm
GO:0009581	detection of external stimulus
GO:0009582	detection of abiotic stimulus
GO:0009583	detection of light stimulus
GO:0009584	detection of visible light
GO:0009585	red, far-red light phototransduction
GO:0009589	detection of UV
GO:0009590	detection of gravity
GO:0009593	detection of chemical stimulus
GO:0009594	detection of nutrient
GO:0009595	detection of biotic stimulus
GO:0009597	detection of virus
GO:0009605	response to external stimulus
GO:0009606	tropism
GO:0009607	response to biotic stimulus
GO:0009608	response to symbiont
GO:0009609	response to symbiotic bacterium
GO:0009610	response to symbiotic fungus
GO:0009611	response to wounding
GO:0009612	response to mechanical stimulus
GO:0009615	response to virus
GO:0009616	virus induced gene silencing
GO:0009617	response to bacterium
GO:0009620	response to fungus
GO:0009623	response to parasitic fungus
GO:0009624	response to nematode
GO:0009625	response to insect
GO:0009626	plant-type hypersensitive response
GO:0009627	systemic acquired resistance
GO:0009628	response to abiotic stimulus
GO:0009629	response to gravity
GO:0009630	gravitropism
GO:0009631	cold acclimation
GO:0009635	response to herbicide
GO:0009636	response to toxic substance
GO:0009637	response to blue light
GO:0009638	phototropism
GO:0009639	response to red or far red light
GO:0009640	photomorphogenesis
GO:0009641	shade avoidance
GO:0009642	response to light intensity
GO:0009643	photosynthetic acclimation
GO:0009644	response to high light intensity
GO:0009645	response to low light intensity stimulus
GO:0009646	response to absence of light
GO:0009647	skotomorphogenesis
GO:0009648	photoperiodism
GO:0009649	entrainment of circadian clock
GO:0009650	UV protection
GO:0009651	response to salt stress
GO:0009652	thigmotropism
GO:0009653	anatomical structure morphogenesis
GO:0009657	plastid organization
GO:0009658	chloroplast organization
GO:0009660	amyloplast organization
GO:0009662	etioplast organization
GO:0009663	plasmodesma organization
GO:0009664	plant-type cell wall organization
GO:0009668	plastid membrane organization
GO:0009682	induced systemic resistance
GO:0009683	indoleacetic acid metabolic process
GO:0009684	indoleacetic acid biosynthetic process
GO:0009685	gibberellin metabolic process
GO:0009686	gibberellin biosynthetic process
GO:0009687	abscisic acid metabolic process
GO:0009688	abscisic acid biosynthetic process
GO:0009690	cytokinin metabolic process
GO:0009691	cytokinin biosynthetic process
GO:0009692	ethylene metabolic process
GO:0009693	ethylene biosynthetic process
GO:0009694	jasmonic acid metabolic process
GO:0009695	jasmonic acid biosynthetic process
GO:0009696	salicylic acid metabolic process
GO:0009697	salicylic acid biosynthetic process
GO:0009698	phenylpropanoid metabolic process
GO:0009699	phenylpropanoid biosynthetic process
GO:0009700	indole phytoalexin biosynthetic process
GO:0009701	isoflavonoid phytoalexin biosynthetic process
GO:0009704	de-etiolation
GO:0009709	terpenoid indole alkaloid biosynthetic process
GO:0009710	tropane alkaloid biosynthetic process
GO:0009712	catechol-containing compound metabolic process
GO:0009713	catechol-containing compound biosynthetic process
GO:0009714	chalcone metabolic process
GO:0009715	chalcone biosynthetic process
GO:0009717	isoflavonoid biosynthetic process
GO:0009718	anthocyanin-containing compound biosynthetic process
GO:0009719	response to endogenous stimulus
GO:0009720	detection of hormone stimulus
GO:0009722	detection of cytokinin stimulus
GO:0009723	response to ethylene stimulus
GO:0009725	response to hormone stimulus
GO:0009726	detection of endogenous stimulus
GO:0009727	detection of ethylene stimulus
GO:0009729	detection of brassinosteroid stimulus
GO:0009730	detection of carbohydrate stimulus
GO:0009731	detection of sucrose stimulus
GO:0009732	detection of hexose stimulus
GO:0009733	response to auxin stimulus
GO:0009734	auxin mediated signaling pathway
GO:0009735	response to cytokinin stimulus
GO:0009736	cytokinin mediated signaling pathway
GO:0009737	response to abscisic acid stimulus
GO:0009738	abscisic acid mediated signaling pathway
GO:0009739	response to gibberellin stimulus
GO:0009740	gibberellic acid mediated signaling pathway
GO:0009741	response to brassinosteroid stimulus
GO:0009742	brassinosteroid mediated signaling pathway
GO:0009743	response to carbohydrate stimulus
GO:0009744	response to sucrose stimulus
GO:0009745	sucrose mediated signaling
GO:0009746	response to hexose stimulus
GO:0009747	hexokinase-dependent signaling
GO:0009749	response to glucose stimulus
GO:0009750	response to fructose stimulus
GO:0009751	response to salicylic acid stimulus
GO:0009753	response to jasmonic acid stimulus
GO:0009755	hormone-mediated signaling pathway
GO:0009756	carbohydrate mediated signaling
GO:0009757	hexose mediated signaling
GO:0009758	carbohydrate utilization
GO:0009759	indole glucosinolate biosynthetic process
GO:0009760	C4 photosynthesis
GO:0009765	photosynthesis, light harvesting
GO:0009767	photosynthetic electron transport chain
GO:0009768	photosynthesis, light harvesting in photosystem I
GO:0009769	photosynthesis, light harvesting in photosystem II
GO:0009772	photosynthetic electron transport in photosystem II
GO:0009773	photosynthetic electron transport in photosystem I
GO:0009780	photosynthetic NADP+ reduction
GO:0009785	blue light signaling pathway
GO:0009786	regulation of asymmetric cell division
GO:0009787	regulation of abscisic acid mediated signaling pathway
GO:0009788	negative regulation of abscisic acid mediated signaling pathway
GO:0009789	positive regulation of abscisic acid mediated signaling pathway
GO:0009790	embryo development
GO:0009791	post-embryonic development
GO:0009792	embryo development ending in birth or egg hatching
GO:0009793	embryo development ending in seed dormancy
GO:0009794	regulation of mitotic cell cycle, embryonic
GO:0009798	axis specification
GO:0009799	specification of symmetry
GO:0009800	cinnamic acid biosynthetic process
GO:0009801	cinnamic acid ester metabolic process
GO:0009802	cinnamic acid ester biosynthetic process
GO:0009803	cinnamic acid metabolic process
GO:0009804	coumarin metabolic process
GO:0009805	coumarin biosynthetic process
GO:0009806	lignan metabolic process
GO:0009807	lignan biosynthetic process
GO:0009808	lignin metabolic process
GO:0009809	lignin biosynthetic process
GO:0009810	stilbene metabolic process
GO:0009812	flavonoid metabolic process
GO:0009813	flavonoid biosynthetic process
GO:0009814	defense response, incompatible interaction
GO:0009816	defense response to bacterium, incompatible interaction
GO:0009817	defense response to fungus, incompatible interaction
GO:0009819	drought recovery
GO:0009820	alkaloid metabolic process
GO:0009821	alkaloid biosynthetic process
GO:0009822	alkaloid catabolic process
GO:0009823	cytokinin catabolic process
GO:0009825	multidimensional cell growth
GO:0009826	unidimensional cell growth
GO:0009827	plant-type cell wall modification
GO:0009828	plant-type cell wall loosening
GO:0009830	cell wall modification involved in abscission
GO:0009831	plant-type cell wall modification involved in multidimensional cell growth
GO:0009832	plant-type cell wall biogenesis
GO:0009833	primary cell wall biogenesis
GO:0009834	secondary cell wall biogenesis
GO:0009835	fruit ripening
GO:0009836	fruit ripening, climacteric
GO:0009838	abscission
GO:0009845	seed germination
GO:0009846	pollen germination
GO:0009847	spore germination
GO:0009850	auxin metabolic process
GO:0009851	auxin biosynthetic process
GO:0009852	auxin catabolic process
GO:0009853	photorespiration
GO:0009854	oxidative photosynthetic carbon pathway
GO:0009855	determination of bilateral symmetry
GO:0009856	pollination
GO:0009859	pollen hydration
GO:0009860	pollen tube growth
GO:0009861	jasmonic acid and ethylene-dependent systemic resistance
GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway
GO:0009863	salicylic acid mediated signaling pathway
GO:0009864	induced systemic resistance, jasmonic acid mediated signaling pathway
GO:0009866	induced systemic resistance, ethylene mediated signaling pathway
GO:0009867	jasmonic acid mediated signaling pathway
GO:0009868	jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway
GO:0009870	defense response signaling pathway, resistance gene-dependent
GO:0009871	jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway
GO:0009873	ethylene mediated signaling pathway
GO:0009875	pollen-pistil interaction
GO:0009880	embryonic pattern specification
GO:0009886	post-embryonic morphogenesis
GO:0009887	organ morphogenesis
GO:0009888	tissue development
GO:0009889	regulation of biosynthetic process
GO:0009890	negative regulation of biosynthetic process
GO:0009891	positive regulation of biosynthetic process
GO:0009892	negative regulation of metabolic process
GO:0009893	positive regulation of metabolic process
GO:0009894	regulation of catabolic process
GO:0009895	negative regulation of catabolic process
GO:0009896	positive regulation of catabolic process
GO:0009900	dehiscence
GO:0009901	anther dehiscence
GO:0009902	chloroplast relocation
GO:0009903	chloroplast avoidance movement
GO:0009904	chloroplast accumulation movement
GO:0009908	flower development
GO:0009909	regulation of flower development
GO:0009910	negative regulation of flower development
GO:0009911	positive regulation of flower development
GO:0009912	auditory receptor cell fate commitment
GO:0009913	epidermal cell differentiation
GO:0009914	hormone transport
GO:0009915	phloem sucrose loading
GO:0009920	cell plate formation involved in plant-type cell wall biogenesis
GO:0009926	auxin polar transport
GO:0009932	cell tip growth
GO:0009933	meristem structural organization
GO:0009934	regulation of meristem structural organization
GO:0009937	regulation of gibberellic acid mediated signaling pathway
GO:0009938	negative regulation of gibberellic acid mediated signaling pathway
GO:0009939	positive regulation of gibberellic acid mediated signaling pathway
GO:0009942	longitudinal axis specification
GO:0009943	adaxial/abaxial axis specification
GO:0009944	polarity specification of adaxial/abaxial axis
GO:0009945	radial axis specification
GO:0009946	proximal/distal axis specification
GO:0009947	centrolateral axis specification
GO:0009948	anterior/posterior axis specification
GO:0009949	polarity specification of anterior/posterior axis
GO:0009950	dorsal/ventral axis specification
GO:0009951	polarity specification of dorsal/ventral axis
GO:0009952	anterior/posterior pattern specification
GO:0009953	dorsal/ventral pattern formation
GO:0009954	proximal/distal pattern formation
GO:0009955	adaxial/abaxial pattern specification
GO:0009956	radial pattern formation
GO:0009957	epidermal cell fate specification
GO:0009958	positive gravitropism
GO:0009959	negative gravitropism
GO:0009960	endosperm development
GO:0009961	response to 1-aminocyclopropane-1-carboxylic acid
GO:0009962	regulation of flavonoid biosynthetic process
GO:0009963	positive regulation of flavonoid biosynthetic process
GO:0009964	negative regulation of flavonoid biosynthetic process
GO:0009965	leaf morphogenesis
GO:0009966	regulation of signal transduction
GO:0009967	positive regulation of signal transduction
GO:0009968	negative regulation of signal transduction
GO:0009969	xyloglucan biosynthetic process
GO:0009970	cellular response to sulfate starvation
GO:0009971	anastral spindle assembly involved in male meiosis
GO:0009972	cytidine deamination
GO:0009987	cellular process
GO:0009988	cell-cell recognition
GO:0009991	response to extracellular stimulus
GO:0009992	cellular water homeostasis
GO:0009994	oocyte differentiation
GO:0009996	negative regulation of cell fate specification
GO:0009997	negative regulation of cardioblast cell fate specification
GO:0010001	glial cell differentiation
GO:0010002	cardioblast differentiation
GO:0010004	gastrulation involving germ band extension
GO:0010014	meristem initiation
GO:0010015	root morphogenesis
GO:0010016	shoot system morphogenesis
GO:0010017	red or far-red light signaling pathway
GO:0010018	far-red light signaling pathway
GO:0010019	chloroplast-nucleus signaling pathway
GO:0010020	chloroplast fission
GO:0010021	amylopectin biosynthetic process
GO:0010022	meristem determinacy
GO:0010023	proanthocyanidin biosynthetic process
GO:0010024	phytochromobilin biosynthetic process
