GO:0000015	phosphopyruvate hydratase complex
GO:0030076	light-harvesting complex
GO:0030089	phycobilisome
GO:0030093	chloroplast photosystem I
GO:0030094	plasma membrane-derived photosystem I
GO:0030095	chloroplast photosystem II
GO:0030096	plasma membrane-derived thylakoid photosystem II
GO:0030112	glycocalyx
GO:0030115	S-layer
GO:0030117	membrane coat
GO:0030118	clathrin coat
GO:0030119	AP-type membrane coat adaptor complex
GO:0030120	vesicle coat
GO:0030121	AP-1 adaptor complex
GO:0030122	AP-2 adaptor complex
GO:0030123	AP-3 adaptor complex
GO:0030125	clathrin vesicle coat
GO:0030126	COPI vesicle coat
GO:0030127	COPII vesicle coat
GO:0030128	clathrin coat of endocytic vesicle
GO:0030130	clathrin coat of trans-Golgi network vesicle
GO:0030131	clathrin adaptor complex
GO:0030132	clathrin coat of coated pit
GO:0030133	transport vesicle
GO:0030134	ER to Golgi transport vesicle
GO:0030135	coated vesicle
GO:0030136	clathrin-coated vesicle
GO:0030137	COPI-coated vesicle
GO:0030139	endocytic vesicle
GO:0030140	trans-Golgi network transport vesicle
GO:0030141	secretory granule
GO:0030142	Golgi to ER transport vesicle
GO:0030173	integral to Golgi membrane
GO:0030175	filopodium
GO:0030176	integral to endoplasmic reticulum membrane
GO:0030257	type III protein secretion system complex
GO:0030285	integral to synaptic vesicle membrane
GO:0030286	dynein complex
GO:0030287	cell wall-bounded periplasmic space
GO:0030288	outer membrane-bounded periplasmic space
GO:0030289	protein phosphatase 4 complex
GO:0030312	external encapsulating structure
GO:0030313	cell envelope
GO:0030314	junctional membrane complex
GO:0030315	T-tubule
GO:0030424	axon
GO:0030425	dendrite
GO:0030426	growth cone
GO:0030427	site of polarized growth
GO:0030428	cell septum
GO:0030430	host cell cytoplasm
GO:0030445	yeast-form cell wall
GO:0030446	hyphal cell wall
GO:0030478	actin cap
GO:0030479	actin cortical patch
GO:0030485	smooth muscle contractile fiber
GO:0030496	midbody
GO:0030526	granulocyte macrophage colony-stimulating factor receptor complex
GO:0030529	ribonucleoprotein complex
GO:0030532	small nuclear ribonucleoprotein complex
GO:0030658	transport vesicle membrane
GO:0030659	cytoplasmic vesicle membrane
GO:0030660	Golgi-associated vesicle membrane
GO:0030662	coated vesicle membrane
GO:0030663	COPI-coated vesicle membrane
GO:0030665	clathrin-coated vesicle membrane
GO:0030666	endocytic vesicle membrane
GO:0030667	secretory granule membrane
GO:0030669	clathrin-coated endocytic vesicle membrane
GO:0030670	phagocytic vesicle membrane
GO:0030672	synaptic vesicle membrane
GO:0030673	axolemma
GO:0030677	ribonuclease P complex
GO:0030678	mitochondrial ribonuclease P complex
GO:0030681	multimeric ribonuclease P complex
GO:0030684	preribosome
GO:0030685	nucleolar preribosome
GO:0030686	90S preribosome
GO:0030687	preribosome, large subunit precursor
GO:0030688	preribosome, small subunit precursor
GO:0030689	Noc complex
GO:0030690	Noc1p-Noc2p complex
GO:0030691	Noc2p-Noc3p complex
GO:0030692	Noc4p-Nop14p complex
GO:0030849	autosome
GO:0030863	cortical cytoskeleton
GO:0030864	cortical actin cytoskeleton
GO:0030867	rough endoplasmic reticulum membrane
GO:0030868	smooth endoplasmic reticulum membrane
GO:0030869	RENT complex
GO:0030870	Mre11 complex
GO:0030874	nucleolar chromatin
GO:0030875	rDNA protrusion
GO:0030877	beta-catenin destruction complex
GO:0030880	RNA polymerase complex
GO:0030891	VCB complex
GO:0030892	mitotic cohesin complex
GO:0030893	meiotic cohesin complex
GO:0030894	replisome
GO:0030895	apolipoprotein B mRNA editing enzyme complex
GO:0030896	checkpoint clamp complex
GO:0030897	HOPS complex
GO:0030904	retromer complex
GO:0030905	retromer complex, outer shell
GO:0030906	retromer complex, inner shell
GO:0030907	MBF transcription complex
GO:0030914	STAGA complex
GO:0030915	Smc5-Smc6 complex
GO:0030929	ADPG pyrophosphorylase complex
GO:0030931	heterotetrameric ADPG pyrophosphorylase complex
GO:0030934	anchoring collagen
GO:0030935	sheet-forming collagen
GO:0030936	transmembrane collagen
GO:0030938	collagen type XVIII
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex
GO:0030958	RITS complex
GO:0030964	NADH dehydrogenase complex
GO:0030981	cortical microtubule cytoskeleton
GO:0030990	intraflagellar transport particle
GO:0030991	intraflagellar transport particle A
GO:0030992	intraflagellar transport particle B
GO:0030993	axonemal heterotrimeric kinesin-II complex
GO:0030998	linear element
GO:0031002	actin rod
GO:0031004	potassium ion-transporting ATPase complex
GO:0031010	ISWI-type complex
GO:0031011	Ino80 complex
GO:0031012	extracellular matrix
GO:0031019	mitochondrial mRNA editing complex
GO:0031021	interphase microtubule organizing center
GO:0031039	macronucleus
GO:0031045	dense core granule
GO:0031074	nucleocytoplasmic shuttling complex
GO:0031080	nuclear pore outer ring
GO:0031082	BLOC complex
GO:0031083	BLOC-1 complex
GO:0031084	BLOC-2 complex
GO:0031085	BLOC-3 complex
GO:0031088	platelet dense granule membrane
GO:0031090	organelle membrane
GO:0031091	platelet alpha granule
GO:0031092	platelet alpha granule membrane
GO:0031093	platelet alpha granule lumen
GO:0031094	platelet dense tubular network
GO:0031095	platelet dense tubular network membrane
GO:0031097	medial cortex
GO:0031105	septin complex
GO:0031143	pseudopodium
GO:0031160	spore wall
GO:0031164	contractile vacuolar membrane
GO:0031166	integral to vacuolar membrane
GO:0031201	SNARE complex
GO:0031205	endoplasmic reticulum Sec complex
GO:0031207	Sec62/Sec63 complex
GO:0031209	SCAR complex
GO:0031211	endoplasmic reticulum palmitoyltransferase complex
GO:0031213	RSF complex
GO:0031224	intrinsic to membrane
GO:0031225	anchored to membrane
GO:0031226	intrinsic to plasma membrane
GO:0031227	intrinsic to endoplasmic reticulum membrane
GO:0031228	intrinsic to Golgi membrane
GO:0031229	intrinsic to nuclear inner membrane
GO:0031230	intrinsic to cell outer membrane
GO:0031231	intrinsic to peroxisomal membrane
GO:0031232	extrinsic to external side of plasma membrane
GO:0031233	intrinsic to external side of plasma membrane
GO:0031234	extrinsic to internal side of plasma membrane
GO:0031235	intrinsic to internal side of plasma membrane
GO:0031237	intrinsic to external side of plasma membrane, in periplasmic space
GO:0031240	external side of cell outer membrane
GO:0031241	internal side of cell outer membrane
GO:0031244	extrinsic to cell outer membrane
GO:0031246	intrinsic to internal side of cell outer membrane
GO:0031248	protein acetyltransferase complex
GO:0031250	anaerobic ribonucleoside-triphosphate reductase complex
GO:0031251	PAN complex
GO:0031252	cell leading edge
GO:0031253	cell projection membrane
GO:0031254	trailing edge
GO:0031255	lateral part of motile cell
GO:0031256	leading edge membrane
GO:0031257	trailing edge membrane
GO:0031258	lamellipodium membrane
GO:0031259	uropod membrane
GO:0031260	pseudopodium membrane
GO:0031261	DNA replication preinitiation complex
GO:0031262	Ndc80 complex
GO:0031264	death-inducing signaling complex
GO:0031265	CD95 death-inducing signaling complex
GO:0031298	replication fork protection complex
GO:0031300	intrinsic to organelle membrane
GO:0031301	integral to organelle membrane
GO:0031302	intrinsic to endosome membrane
GO:0031303	integral to endosome membrane
GO:0031304	intrinsic to mitochondrial inner membrane
GO:0031305	integral to mitochondrial inner membrane
GO:0031306	intrinsic to mitochondrial outer membrane
GO:0031307	integral to mitochondrial outer membrane
GO:0031308	intrinsic to nuclear outer membrane
GO:0031309	integral to nuclear outer membrane
GO:0031310	intrinsic to vacuolar membrane
GO:0031312	extrinsic to organelle membrane
GO:0031313	extrinsic to endosome membrane
GO:0031314	extrinsic to mitochondrial inner membrane
GO:0031315	extrinsic to mitochondrial outer membrane
GO:0031316	extrinsic to nuclear outer membrane
GO:0031317	tripartite ATP-independent periplasmic transporter complex
GO:0031332	RNAi effector complex
GO:0031351	integral to plastid membrane
GO:0031353	integral to plastid inner membrane
GO:0031355	integral to plastid outer membrane
GO:0031357	integral to chloroplast inner membrane
GO:0031359	integral to chloroplast outer membrane
GO:0031361	integral to thylakoid membrane
GO:0031362	anchored to external side of plasma membrane
GO:0031371	ubiquitin conjugating enzyme complex
GO:0031372	UBC13-MMS2 complex
GO:0031379	RNA-directed RNA polymerase complex
GO:0031380	nuclear RNA-directed RNA polymerase complex
GO:0031389	Rad17 RFC-like complex
GO:0031390	Ctf18 RFC-like complex
GO:0031391	Elg1 RFC-like complex
GO:0031395	bursicon neuropeptide hormone complex
GO:0031410	cytoplasmic vesicle
GO:0031411	gas vesicle
GO:0031414	N-terminal protein acetyltransferase complex
GO:0031415	NatA complex
GO:0031416	NatB complex
GO:0031417	NatC complex
GO:0031422	RecQ helicase-Topo III complex
GO:0031428	box C/D snoRNP complex
GO:0031429	box H/ACA snoRNP complex
GO:0031430	M band
GO:0031431	Dbf4-dependent protein kinase complex
GO:0031436	BRCA1-BARD1 complex
GO:0031461	cullin-RING ubiquitin ligase complex
GO:0031462	Cul2-RING ubiquitin ligase complex
GO:0031463	Cul3-RING ubiquitin ligase complex
GO:0031464	Cul4A-RING ubiquitin ligase complex
GO:0031465	Cul4B-RING ubiquitin ligase complex
GO:0031466	Cul5-RING ubiquitin ligase complex
GO:0031467	Cul7-RING ubiquitin ligase complex
GO:0031475	myosin V complex
GO:0031476	myosin VI complex
GO:0031477	myosin VII complex
GO:0031499	TRAMP complex
GO:0031500	Tea1 cell-end complex
GO:0031501	mannosyltransferase complex
GO:0031502	dolichyl-phosphate-mannose-protein mannosyltransferase complex
GO:0031510	SUMO activating enzyme complex
GO:0031511	Mis6-Sim4 complex
GO:0031512	motile primary cilium
GO:0031513	nonmotile primary cilium
GO:0031514	motile cilium
GO:0031515	tRNA (m1A) methyltransferase complex
GO:0031518	CBF3 complex
GO:0031519	PcG protein complex
GO:0031520	plasma membrane of cell tip
GO:0031521	spitzenkorper
GO:0031522	cell envelope Sec protein transport complex
GO:0031523	Myb complex
GO:0031526	brush border membrane
GO:0031527	filopodium membrane
GO:0031528	microvillus membrane
GO:0031533	mRNA cap methyltransferase complex
GO:0031560	cellular bud neck polarisome
GO:0031561	cellular bud tip polarisome
GO:0031562	hyphal tip polarisome
GO:0031588	AMP-activated protein kinase complex
GO:0031592	centrosomal corona
GO:0031594	neuromuscular junction
GO:0031595	nuclear proteasome complex
GO:0031597	cytosolic proteasome complex
GO:0031616	spindle pole centrosome
GO:0031617	NMS complex
GO:0031618	nuclear centromeric heterochromatin
GO:0031672	A band
GO:0031673	H zone
GO:0031674	I band
GO:0031680	G-protein beta/gamma-subunit complex
GO:0031838	haptoglobin-hemoglobin complex
GO:0031897	Tic complex
GO:0031901	early endosome membrane
GO:0031902	late endosome membrane
GO:0031903	microbody membrane
GO:0031904	endosome lumen
GO:0031905	early endosome lumen
GO:0031907	microbody lumen
GO:0031910	cytostome
GO:0031912	oral apparatus
GO:0031931	TORC1 complex
GO:0031932	TORC2 complex
GO:0031933	telomeric heterochromatin
GO:0031934	mating-type region heterochromatin
GO:0031941	filamentous actin
GO:0031942	i-AAA complex
GO:0031965	nuclear membrane
GO:0031966	mitochondrial membrane
GO:0031967	organelle envelope
GO:0031968	organelle outer membrane
GO:0031969	chloroplast membrane
GO:0031970	organelle envelope lumen
GO:0031974	membrane-enclosed lumen
GO:0031975	envelope
GO:0031976	plastid thylakoid
GO:0031977	thylakoid lumen
GO:0031978	plastid thylakoid lumen
GO:0031981	nuclear lumen
GO:0031982	vesicle
GO:0031983	vesicle lumen
GO:0031984	organelle subcompartment
GO:0031985	Golgi cisterna
GO:0031988	membrane-bounded vesicle
GO:0032002	interleukin-28 receptor complex
GO:0032009	early phagosome
GO:0032010	phagolysosome
GO:0032019	mitochondrial cloud
GO:0032021	NELF complex
GO:0032039	integrator complex
GO:0032040	small-subunit processome
GO:0032044	DSIF complex
GO:0032045	guanyl-nucleotide exchange factor complex
GO:0032059	bleb
GO:0032116	SMC loading complex
GO:0032117	horsetail-astral microtubule array
GO:0032126	eisosome
GO:0032127	dense core granule membrane
GO:0032133	chromosome passenger complex
GO:0032144	4-aminobutyrate transaminase complex
GO:0032153	cell division site
GO:0032154	cleavage furrow
GO:0032155	cell division site part
GO:0032156	septin cytoskeleton
GO:0032158	septin band
GO:0032160	septin filament array
GO:0032161	cleavage apparatus septin structure
GO:0032163	hyphal septin band
GO:0032165	prospore septin filament array
GO:0032168	hyphal septin ring
GO:0032173	septin collar
GO:0032174	cellular bud neck septin collar
GO:0032176	split septin rings
GO:0032177	cellular bud neck split septin rings
GO:0032178	medial membrane band
GO:0032195	post-lysosomal vacuole
GO:0032221	Rpd3S complex
GO:0032279	asymmetric synapse
GO:0032280	symmetric synapse
GO:0032281	alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex
GO:0032299	ribonuclease H2 complex
GO:0032300	mismatch repair complex
GO:0032301	MutSalpha complex
GO:0032302	MutSbeta complex
GO:0032311	angiogenin-PRI complex
GO:0032389	MutLalpha complex
GO:0032391	photoreceptor connecting cilium
GO:0032398	MHC class Ib protein complex
GO:0032419	extrinsic to lysosome membrane
GO:0032420	stereocilium
GO:0032421	stereocilium bundle
GO:0032426	stereocilium bundle tip
GO:0032432	actin filament bundle
GO:0032433	filopodium tip
GO:0032437	cuticular plate
GO:0032444	activin responsive factor complex
GO:0032473	external side of mitochondrial outer membrane
GO:0032476	decaprenyl diphosphate synthase complex
GO:0032541	cortical endoplasmic reticulum
GO:0032545	CURI complex
GO:0032578	aleurone grain membrane
GO:0032580	Golgi cisterna membrane
GO:0032584	growth cone membrane
GO:0032585	multivesicular body membrane
GO:0032586	protein storage vacuole membrane
GO:0032587	ruffle membrane
GO:0032588	trans-Golgi network membrane
GO:0032589	neuron projection membrane
GO:0032590	dendrite membrane
GO:0032591	dendritic spine membrane
GO:0032592	integral to mitochondrial membrane
GO:0032593	insulin-responsive compartment
GO:0032777	Piccolo NuA4 histone acetyltransferase complex
GO:0032783	ELL-EAF complex
GO:0032797	SMN complex
GO:0032798	Swi5-Sfr1 complex
GO:0032806	carboxy-terminal domain protein kinase complex
GO:0032807	DNA ligase IV complex
GO:0032809	neuronal cell body membrane
GO:0032838	cell projection cytoplasm
GO:0032839	dendrite cytoplasm
GO:0032865	ERMES complex
GO:0032936	SREBP-SCAP complex
GO:0032937	SREBP-SCAP-Insig complex
GO:0032982	myosin filament
GO:0032983	kainate selective glutamate receptor complex
GO:0032991	macromolecular complex
GO:0032992	protein-carbohydrate complex
GO:0032993	protein-DNA complex
GO:0032994	protein-lipid complex
GO:0032996	Bcl3-Bcl10 complex
GO:0032997	Fc receptor complex
GO:0032998	Fc-epsilon receptor I complex
GO:0033010	paranodal junction
GO:0033011	perinuclear theca
GO:0033017	sarcoplasmic reticulum membrane
GO:0033018	sarcoplasmic reticulum lumen
GO:0033061	DNA recombinase mediator complex
GO:0033062	Rhp55-Rhp57 complex
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex
GO:0033065	Rad51C-XRCC3 complex
GO:0033093	Weibel-Palade body
GO:0033095	aleurone grain
GO:0033100	NuA3 histone acetyltransferase complex
GO:0033101	cellular bud membrane
GO:0033106	cis-Golgi network membrane
GO:0033115	cyanelle thylakoid membrane
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
GO:0033162	melanosome membrane
GO:0033165	interphotoreceptor matrix
GO:0033167	ARC complex
GO:0033176	proton-transporting V-type ATPase complex
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
GO:0033179	proton-transporting V-type ATPase, V0 domain
GO:0033180	proton-transporting V-type ATPase, V1 domain
GO:0033181	plasma membrane proton-transporting V-type ATPase complex
GO:0033185	dolichol-phosphate-mannose synthase complex
GO:0033186	CAF-1 complex
GO:0033193	Lsd1/2 complex
GO:0033202	DNA helicase complex
GO:0033203	DNA helicase A complex
GO:0033254	vacuolar transporter chaperone complex
GO:0033255	SAS acetyltransferase complex
GO:0033256	I-kappaB/NF-kappaB complex
GO:0033257	Bcl3/NF-kappaB2 complex
GO:0033263	CORVET complex
GO:0033267	axon part
GO:0033268	node of Ranvier
GO:0033269	internode region of axon
GO:0033270	paranode region of axon
GO:0033276	transcription factor TFTC complex
GO:0033281	TAT protein transport complex
GO:0033290	eukaryotic 48S preinitiation complex
GO:0033291	eukaryotic 80S initiation complex
GO:0033309	SBF transcription complex
GO:0033391	chromatoid body
GO:0033503	HULC complex
GO:0033551	monopolin complex
GO:0033553	rDNA heterochromatin
GO:0033557	Slx1-Slx4 complex
GO:0033565	ESCRT-0 complex
GO:0033573	high affinity iron permease complex
GO:0033583	rhabdomere membrane
GO:0033588	Elongator holoenzyme complex
GO:0033593	BRCA2-MAGE-D1 complex
GO:0033596	TSC1-TSC2 complex
GO:0033597	mitotic checkpoint complex
GO:0033620	Mei2 nuclear dot
GO:0033643	host cell part
GO:0033644	host cell membrane
GO:0033645	host cell endomembrane system
GO:0033646	host intracellular part
GO:0033647	host intracellular organelle
GO:0033648	host intracellular membrane-bounded organelle
GO:0033650	host cell mitochondrion
GO:0033655	host cell cytoplasm part
GO:0033698	Rpd3L complex
GO:0033768	SUMO-targeted ubiquitin ligase complex
GO:0034044	exomer complex
GO:0034045	pre-autophagosomal structure membrane
GO:0034064	Tor2-Mei2-Ste11 complex
GO:0034066	Ric1p-Rgp1p complex
GO:0034081	polyketide synthase complex
GO:0034083	type III polyketide synthase complex
GO:0034098	Cdc48p-Npl4p-Ufd1p AAA ATPase complex
GO:0034099	luminal surveillance complex
GO:0034245	mitochondrial DNA-directed RNA polymerase complex
GO:0034270	CVT complex
GO:0034271	phosphatidylinositol 3-kinase complex I
GO:0034272	phosphatidylinositol 3-kinase complex II
GO:0034273	Atg1p signaling complex
GO:0034274	Atg12-Atg5-Atg16 complex
GO:0034357	photosynthetic membrane
GO:0034358	plasma lipoprotein particle
GO:0034359	mature chylomicron
GO:0034360	chylomicron remnant
GO:0034361	very-low-density lipoprotein particle
GO:0034362	low-density lipoprotein particle
GO:0034363	intermediate-density lipoprotein particle
GO:0034364	high-density lipoprotein particle
GO:0034365	discoidal high-density lipoprotein particle
GO:0034366	spherical high-density lipoprotein particle
GO:0034385	triglyceride-rich lipoprotein particle
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome
GO:0034399	nuclear periphery
GO:0034423	autophagic vacuole lumen
GO:0034424	Vps55/Vps68 complex
GO:0034425	etioplast envelope
GO:0034426	etioplast membrane
GO:0034448	EGO complex
GO:0034451	centriolar satellite
GO:0034455	t-UTP complex
GO:0034456	UTP-C complex
GO:0034457	Mpp10 complex
GO:0034464	BBSome
GO:0034494	microneme lumen
GO:0034506	chromosome, centromeric core region
GO:0034515	proteasome storage granule
GO:0034518	RNA cap binding complex
GO:0034592	synaptic vesicle lumen
GO:0034657	GID complex
GO:0034663	endoplasmic reticulum chaperone complex
GO:0034665	alpha1-beta1 integrin complex
GO:0034666	alpha2-beta1 integrin complex
GO:0034667	alpha3-beta1 integrin complex
GO:0034669	alpha4-beta7 integrin complex
GO:0034673	inhibin-betaglycan-ActRII complex
GO:0034676	alpha6-beta4 integrin complex
GO:0034677	alpha7-beta1 integrin complex
GO:0034678	alpha8-beta1 integrin complex
GO:0034679	alpha9-beta1 integrin complex
GO:0034680	alpha10-beta1 integrin complex
GO:0034681	alpha11-beta1 integrin complex
GO:0034683	alphav-beta3 integrin complex
GO:0034684	alphav-beta5 integrin complex
GO:0034686	alphav-beta8 integrin complex
GO:0034687	alphaL-beta2 integrin complex
GO:0034702	ion channel complex
GO:0034703	cation channel complex
GO:0034704	calcium channel complex
GO:0034705	potassium channel complex
GO:0034706	sodium channel complex
GO:0034707	chloride channel complex
GO:0034708	methyltransferase complex
GO:0034709	methylosome
GO:0034715	pICln-Sm protein complex
GO:0034718	SMN-Gemin2 complex
GO:0034719	SMN-Sm protein complex
GO:0034730	SmD-containing SMN-Sm protein complex
GO:0034750	Scrib-APC-beta-catenin complex
GO:0034751	aryl hydrocarbon receptor complex
GO:0034752	cytosolic aryl hydrocarbon receptor complex
GO:0034753	nuclear aryl hydrocarbon receptor complex
GO:0034774	secretory granule lumen
GO:0034967	Set3 complex
GO:0034973	Sid2-Mob1 complex
GO:0034974	Swi5-Swi2 complex
GO:0034990	nuclear mitotic cohesin complex
GO:0034991	nuclear meiotic cohesin complex
GO:0034992	microtubule organizing center attachment site
GO:0034993	SUN-KASH complex
GO:0035003	subapical complex
GO:0035012	polytene chromosome, telomeric region
GO:0035059	RCAF complex
GO:0035060	brahma complex
GO:0035061	interchromatin granule
GO:0035062	omega speckle
GO:0035068	micro-ribonucleoprotein complex
GO:0035097	histone methyltransferase complex
GO:0035098	ESC/E(Z) complex
GO:0035101	FACT complex
GO:0035102	PRC1 complex
GO:0035145	exon-exon junction complex
GO:0035182	female germline ring canal outer rim
GO:0035183	female germline ring canal inner rim
GO:0035189	Rb-E2F complex
GO:0035230	cytoneme
GO:0035253	ciliary rootlet
GO:0035267	NuA4 histone acetyltransferase complex
GO:0035301	Hedgehog signaling complex
GO:0035323	male germline ring canal
GO:0035324	female germline ring canal
GO:0035327	transcriptionally active chromatin
GO:0035328	transcriptionally silent chromatin
GO:0035339	SPOTS complex
GO:0035354	Toll-like receptor 1-Toll-like receptor 2 protein complex
GO:0035355	Toll-like receptor 2-Toll-like receptor 6 protein complex
GO:0035361	Cul8-RING ubiquitin ligase complex
GO:0035363	histone locus body
GO:0035370	UBC13-UEV1A complex
GO:0035371	microtubule plus end
GO:0035452	extrinsic to plastid membrane
GO:0035517	PR-DUB complex
GO:0035550	urease complex
GO:0035578	azurophil granule lumen
GO:0035618	root hair
GO:0035619	root hair tip
GO:0035631	CD40 receptor complex
GO:0035632	mitochondrial prohibitin complex
GO:0035649	Nrd1 complex
GO:0035657	eRF1 methyltransferase complex
GO:0035658	Mon1-Ccz1 complex
GO:0035686	sperm fibrous sheath
GO:0035692	macrophage migration inhibitory factor receptor complex
GO:0035693	NOS2-CD74 complex
GO:0035748	myelin sheath abaxonal region
GO:0035749	myelin sheath adaxonal region
GO:0035770	ribonucleoprotein granule
GO:0035792	other organism postsynaptic membrane
GO:0035805	egg coat
GO:0035838	growing cell tip
GO:0035839	non-growing cell tip
GO:0035840	old growing cell tip
GO:0035841	new growing cell tip
GO:0035842	old cell tip after activation of bipolar cell growth
GO:0035859	Seh1-associated complex
GO:0035861	site of double-strand break
GO:0035867	alphav-beta3 integrin-IGF-1-IGF1R complex
GO:0035869	ciliary transition zone
GO:0035974	meiotic spindle pole body
GO:0035976	AP1 complex
GO:0035985	senescence-associated heterochromatin focus
GO:0035996	rhabdomere microvillus
GO:0035997	rhabdomere microvillus membrane
GO:0036019	endolysosome
GO:0036020	endolysosome membrane
GO:0036021	endolysosome lumen
GO:0036024	protein C inhibitor-TMPRSS7 complex
GO:0036025	protein C inhibitor-TMPRSS11E complex
GO:0036026	protein C inhibitor-PLAT complex
GO:0036027	protein C inhibitor-PLAU complex
GO:0036028	protein C inhibitor-thrombin complex
GO:0036029	protein C inhibitor-KLK3 complex
GO:0036030	protein C inhibitor-plasma kallikrein complex
GO:0036038	TCTN-B9D complex
GO:0036053	glomerular endothelium fenestra
GO:0036056	filtration diaphragm
GO:0036057	slit diaphragm
GO:0036062	presynaptic periactive zone
GO:0036063	acroblast
GO:0036064	cilium basal body
GO:0036087	glutathione synthase complex
GO:0036117	hyaluranon cable
GO:0036125	fatty acid beta-oxidation multienzyme complex
GO:0036126	sperm flagellum
GO:0036128	CatSper complex
GO:0036157	outer dynein arm
GO:0036194	muscle cell projection
GO:0036195	muscle cell projection membrane
GO:0036266	Cdc48p-Npl4p-Vms1p AAA ATPase complex
GO:0036286	eisosome filament
GO:0036338	viral membrane
GO:0036362	ascus membrane
GO:0036375	Kibra-Ex-Mer complex
GO:0036379	myofilament
GO:0036387	pre-replicative complex
GO:0038037	G-protein coupled receptor dimeric complex
GO:0038038	G-protein coupled receptor homodimeric complex
GO:0038039	G-protein coupled receptor heterodimeric complex
GO:0042022	interleukin-12 receptor complex
GO:0042025	host cell nucleus
GO:0042101	T cell receptor complex
GO:0042105	alpha-beta T cell receptor complex
GO:0042151	nematocyst
GO:0042170	plastid membrane
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
GO:0042272	nuclear RNA export factor complex
GO:0042382	paraspeckles
GO:0042383	sarcolemma
GO:0042405	nuclear inclusion body
GO:0042406	extrinsic to endoplasmic reticulum membrane
GO:0042470	melanosome
GO:0042555	MCM complex
GO:0042564	NLS-dependent protein nuclear import complex
GO:0042567	insulin-like growth factor ternary complex
GO:0042568	insulin-like growth factor binary complex
GO:0042571	immunoglobulin complex, circulating
GO:0042575	DNA polymerase complex
GO:0042579	microbody
GO:0042581	specific granule
GO:0042582	azurophil granule
GO:0042583	chromaffin granule
GO:0042584	chromaffin granule membrane
GO:0042585	germinal vesicle
GO:0042587	glycogen granule
GO:0042588	zymogen granule
GO:0042589	zymogen granule membrane
GO:0042597	periplasmic space
GO:0042599	lamellar body
GO:0042600	chorion
GO:0042601	endospore-forming forespore
GO:0042611	MHC protein complex
GO:0042612	MHC class I protein complex
GO:0042613	MHC class II protein complex
GO:0042622	photoreceptor outer segment membrane
GO:0042627	chylomicron
GO:0042629	mast cell granule
GO:0042641	actomyosin
GO:0042642	actomyosin, myosin complex part
GO:0042643	actomyosin, actin part
GO:0042644	chloroplast nucleoid
GO:0042645	mitochondrial nucleoid
GO:0042646	plastid nucleoid
GO:0042651	thylakoid membrane
GO:0042652	mitochondrial respiratory chain complex I, peripheral segment
GO:0042709	succinate-CoA ligase complex
GO:0042718	yolk granule
GO:0042719	mitochondrial intermembrane space protein transporter complex
GO:0042720	mitochondrial inner membrane peptidase complex
GO:0042721	mitochondrial inner membrane protein insertion complex
GO:0042729	DASH complex
GO:0042734	presynaptic membrane
GO:0042735	protein body
GO:0042763	intracellular immature spore
GO:0042764	ascospore-type prospore
GO:0042765	GPI-anchor transamidase complex
GO:0042788	polysomal ribosome
GO:0042807	central vacuole
GO:0042824	MHC class I peptide loading complex
GO:0042825	TAP complex
GO:0042827	platelet dense granule
GO:0042995	cell projection
GO:0043005	neuron projection
GO:0043020	NADPH oxidase complex
GO:0043025	neuronal cell body
GO:0043033	isoamylase complex
GO:0043034	costamere
GO:0043036	starch grain
GO:0043073	germ cell nucleus
GO:0043076	megasporocyte nucleus
GO:0043078	polar nucleus
GO:0043083	synaptic cleft
GO:0043159	acrosomal matrix
GO:0043186	P granule
GO:0043187	cell septum surface
GO:0043188	cell septum edging
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0043190	ATP-binding cassette (ABC) transporter complex
GO:0043194	axon initial segment
GO:0043195	terminal bouton
GO:0043196	varicosity
GO:0043197	dendritic spine
GO:0043198	dendritic shaft
GO:0043202	lysosomal lumen
GO:0043203	axon hillock
GO:0043204	perikaryon
GO:0043205	fibril
GO:0043209	myelin sheath
GO:0043218	compact myelin
GO:0043219	lateral loop
GO:0043220	Schmidt-Lanterman incisure
GO:0043224	nuclear SCF ubiquitin ligase complex
GO:0043226	organelle
GO:0043227	membrane-bounded organelle
GO:0043228	non-membrane-bounded organelle
GO:0043229	intracellular organelle
GO:0043230	extracellular organelle
GO:0043231	intracellular membrane-bounded organelle
GO:0043232	intracellular non-membrane-bounded organelle
GO:0043233	organelle lumen
GO:0043234	protein complex
GO:0043235	receptor complex
GO:0043240	Fanconi anaemia nuclear complex
GO:0043245	extraorganismal space
GO:0043256	laminin complex
GO:0043257	laminin-8 complex
GO:0043259	laminin-10 complex
GO:0043260	laminin-11 complex
GO:0043263	cellulosome
GO:0043264	extracellular non-membrane-bounded organelle
GO:0043265	ectoplasm
GO:0043291	RAVE complex
GO:0043292	contractile fiber
GO:0043293	apoptosome
GO:0043296	apical junction complex
GO:0043332	mating projection tip
GO:0043494	CLRC ubiquitin ligase complex
GO:0043505	centromere-specific nucleosome
